stuendlicher abfluss am Pegel Fundus neu [m3/s]
YYYY	MM	DD	HH	1598.2
2013	1	4	1	0.133
2013	1	4	2	0.135
2013	1	4	3	0.131
2013	1	4	4	0.135
2013	1	4	5	0.136
2013	1	4	6	0.134
2013	1	4	7	0.132
2013	1	4	8	0.13
2013	1	4	9	0.128
2013	1	4	10	0.127
2013	1	4	11	0.127
2013	1	4	12	0.127
2013	1	4	13	0.128
2013	1	4	14	0.127
2013	1	4	15	0.127
2013	1	4	16	0.127
2013	1	4	17	0.126
2013	1	4	18	0.126
2013	1	4	19	0.126
2013	1	4	20	0.126
2013	1	4	21	0.125
2013	1	4	22	0.125
2013	1	4	23	0.125
2013	1	5	0	0.125
2013	1	5	1	0.125
2013	1	5	2	0.125
2013	1	5	3	0.125
2013	1	5	4	0.126
2013	1	5	5	0.127
2013	1	5	6	0.128
2013	1	5	7	0.131
2013	1	5	8	0.132
2013	1	5	9	0.131
2013	1	5	10	0.129
2013	1	5	11	0.131
2013	1	5	12	0.133
2013	1	5	13	0.135
2013	1	5	14	0.134
2013	1	5	15	0.134
2013	1	5	16	0.134
2013	1	5	17	0.136
2013	1	5	18	0.134
2013	1	5	19	0.133
2013	1	5	20	0.132
2013	1	5	21	0.131
2013	1	5	22	0.129
2013	1	5	23	0.126
2013	1	6	0	0.125
2013	1	6	1	0.125
2013	1	6	2	0.125
2013	1	6	3	0.125
2013	1	6	4	0.125
2013	1	6	5	0.125
2013	1	6	6	0.125
2013	1	6	7	0.125
2013	1	6	8	0.124
2013	1	6	9	0.124
2013	1	6	10	0.124
2013	1	6	11	0.124
2013	1	6	12	0.124
2013	1	6	13	0.124
2013	1	6	14	0.124
2013	1	6	15	0.125
2013	1	6	16	0.125
2013	1	6	17	0.125
2013	1	6	18	0.124
2013	1	6	19	0.124
2013	1	6	20	0.125
2013	1	6	21	0.125
2013	1	6	22	0.124
2013	1	6	23	0.122
2013	1	7	0	0.122
2013	1	7	1	0.122
2013	1	7	2	0.122
2013	1	7	3	0.122
2013	1	7	4	0.122
2013	1	7	5	0.122
2013	1	7	6	0.122
2013	1	7	7	0.122
2013	1	7	8	0.122
2013	1	7	9	0.122
2013	1	7	10	0.122
2013	1	7	11	0.122
2013	1	7	12	0.122
2013	1	7	13	0.122
2013	1	7	14	0.122
2013	1	7	15	0.122
2013	1	7	16	0.122
2013	1	7	17	0.122
2013	1	7	18	0.122
2013	1	7	19	0.122
2013	1	7	20	0.122
2013	1	7	21	0.122
2013	1	7	22	0.121
2013	1	7	23	0.121
2013	1	8	0	0.122
2013	1	8	1	0.121
2013	1	8	2	0.121
2013	1	8	3	0.121
2013	1	8	4	0.122
2013	1	8	5	0.122
2013	1	8	6	0.121
2013	1	8	7	0.122
2013	1	8	8	0.121
2013	1	8	9	0.122
2013	1	8	10	0.121
2013	1	8	11	0.122
2013	1	8	12	0.122
2013	1	8	13	0.122
2013	1	8	14	0.122
2013	1	8	15	0.122
2013	1	8	16	0.122
2013	1	8	17	0.122
2013	1	8	18	0.122
2013	1	8	19	0.121
2013	1	8	20	0.122
2013	1	8	21	0.122
2013	1	8	22	0.121
2013	1	8	23	0.121
2013	1	9	0	0.12
2013	1	9	1	0.121
2013	1	9	2	0.121
2013	1	9	3	0.121
2013	1	9	4	0.12
2013	1	9	5	0.12
2013	1	9	6	0.12
2013	1	9	7	0.12
2013	1	9	8	0.12
2013	1	9	9	0.12
2013	1	9	10	0.12
2013	1	9	11	0.12
2013	1	9	12	0.12
2013	1	9	13	0.12
2013	1	9	14	0.121
2013	1	9	15	0.12
2013	1	9	16	0.12
2013	1	9	17	0.12
2013	1	9	18	0.121
2013	1	9	19	0.12
2013	1	9	20	0.121
2013	1	9	21	0.121
2013	1	9	22	0.12
2013	1	9	23	0.12
2013	1	10	0	0.121
2013	1	10	1	0.121
2013	1	10	2	0.121
2013	1	10	3	0.121
2013	1	10	4	0.12
2013	1	10	5	0.12
2013	1	10	6	0.12
2013	1	10	7	0.12
2013	1	10	8	0.12
2013	1	10	9	0.121
2013	1	10	10	0.12
2013	1	10	11	0.121
2013	1	10	12	0.121
2013	1	10	13	0.121
2013	1	10	14	0.121
2013	1	10	15	0.12
2013	1	10	16	0.121
2013	1	10	17	0.121
2013	1	10	18	0.121
2013	1	10	19	0.12
2013	1	10	20	0.119
2013	1	10	21	0.119
2013	1	10	22	0.118
2013	1	10	23	0.119
2013	1	11	0	0.117
2013	1	11	1	0.119
2013	1	11	2	0.12
2013	1	11	3	0.122
2013	1	11	4	0.122
2013	1	11	5	0.122
2013	1	11	6	0.122
2013	1	11	7	0.122
2013	1	11	8	0.122
2013	1	11	9	0.122
2013	1	11	10	0.122
2013	1	11	11	0.121
2013	1	11	12	0.12
2013	1	11	13	0.12
2013	1	11	14	0.119
2013	1	11	15	0.12
2013	1	11	16	0.119
2013	1	11	17	0.119
2013	1	11	18	0.119
2013	1	11	19	0.119
2013	1	11	20	0.119
2013	1	11	21	0.119
2013	1	11	22	0.119
2013	1	11	23	0.119
2013	1	12	0	0.119
2013	1	12	1	0.119
2013	1	12	2	0.119
2013	1	12	3	0.119
2013	1	12	4	0.118
2013	1	12	5	0.119
2013	1	12	6	0.119
2013	1	12	7	0.119
2013	1	12	8	0.119
2013	1	12	9	0.118
2013	1	12	10	0.118
2013	1	12	11	0.118
2013	1	12	12	0.118
2013	1	12	13	0.118
2013	1	12	14	0.118
2013	1	12	15	0.117
2013	1	12	16	0.116
2013	1	12	17	0.11
2013	1	12	18	0.104
2013	1	12	19	0.099
2013	1	12	20	0.096
2013	1	12	21	0.092
2013	1	12	22	0.092
2013	1	12	23	0.096
2013	1	13	0	0.098
2013	1	13	1	0.1
2013	1	13	2	0.095
2013	1	13	3	0.094
2013	1	13	4	0.095
2013	1	13	5	0.103
2013	1	13	6	0.107
2013	1	13	7	0.111
2013	1	13	8	0.112
2013	1	13	9	0.111
2013	1	13	10	0.11
2013	1	13	11	0.113
2013	1	13	12	0.127
2013	1	13	13	0.142
2013	1	13	14	0.147
2013	1	13	15	0.141
2013	1	13	16	0.126
2013	1	13	17	0.119
2013	1	13	18	0.115
2013	1	13	19	0.109
2013	1	13	20	0.104
2013	1	13	21	0.101
2013	1	13	22	0.1
2013	1	13	23	0.1
2013	1	14	0	0.101
2013	1	14	1	0.105
2013	1	14	2	0.111
2013	1	14	3	0.114
2013	1	14	4	0.118
2013	1	14	5	0.119
2013	1	14	6	0.122
2013	1	14	7	0.123
2013	1	14	8	0.125
2013	1	14	9	0.126
2013	1	14	10	0.127
2013	1	14	11	0.126
2013	1	14	12	0.132
2013	1	14	13	0.139
2013	1	14	14	0.134
2013	1	14	15	0.131
2013	1	14	16	0.129
2013	1	14	17	0.125
2013	1	14	18	0.123
2013	1	14	19	0.124
2013	1	14	20	0.122
2013	1	14	21	0.119
2013	1	14	22	0.112
2013	1	14	23	0.111
2013	1	15	0	0.111
2013	1	15	1	0.111
2013	1	15	2	0.107
2013	1	15	3	0.101
2013	1	15	4	0.094
2013	1	15	5	0.091
2013	1	15	6	0.091
2013	1	15	7	0.089
2013	1	15	8	0.085
2013	1	15	9	0.089
2013	1	15	10	0.094
2013	1	15	11	0.1
2013	1	15	12	0.106
2013	1	15	13	0.12
2013	1	15	14	0.139
2013	1	15	15	0.145
2013	1	15	16	0.126
2013	1	15	17	0.113
2013	1	15	18	0.108
2013	1	15	19	0.108
2013	1	15	20	0.108
2013	1	15	21	0.108
2013	1	15	22	0.113
2013	1	15	23	0.118
2013	1	16	0	0.119
2013	1	16	1	0.121
2013	1	16	2	0.122
2013	1	16	3	0.124
2013	1	16	4	0.123
2013	1	16	5	0.123
2013	1	16	6	0.122
2013	1	16	7	0.119
2013	1	16	8	0.116
2013	1	16	9	0.117
2013	1	16	10	0.118
2013	1	16	11	0.121
2013	1	16	12	0.126
2013	1	16	13	0.125
2013	1	16	14	0.124
2013	1	16	15	0.126
2013	1	16	16	0.123
2013	1	16	17	0.118
2013	1	16	18	0.115
2013	1	16	19	0.115
2013	1	16	20	0.114
2013	1	16	21	0.114
2013	1	16	22	0.112
2013	1	16	23	0.112
2013	1	17	0	0.111
2013	1	17	1	0.111
2013	1	17	2	0.111
2013	1	17	3	0.112
2013	1	17	4	0.111
2013	1	17	5	0.112
2013	1	17	6	0.111
2013	1	17	7	0.111
2013	1	17	8	0.111
2013	1	17	9	0.111
2013	1	17	10	0.112
2013	1	17	11	0.112
2013	1	17	12	0.112
2013	1	17	13	0.112
2013	1	17	14	0.112
2013	1	17	15	0.112
2013	1	17	16	0.112
2013	1	17	17	0.112
2013	1	17	18	0.112
2013	1	17	19	0.112
2013	1	17	20	0.111
2013	1	17	21	0.111
2013	1	17	22	0.111
2013	1	17	23	0.111
2013	1	18	0	0.111
2013	1	18	1	0.111
2013	1	18	2	0.111
2013	1	18	3	0.111
2013	1	18	4	0.111
2013	1	18	5	0.11
2013	1	18	6	0.11
2013	1	18	7	0.109
2013	1	18	8	0.109
2013	1	18	9	0.109
2013	1	18	10	0.11
2013	1	18	11	0.11
2013	1	18	12	0.109
2013	1	18	13	0.11
2013	1	18	14	0.111
2013	1	18	15	0.111
2013	1	18	16	0.111
2013	1	18	17	0.11
2013	1	18	18	0.11
2013	1	18	19	0.109
2013	1	18	20	0.11
2013	1	18	21	0.11
2013	1	18	22	0.109
2013	1	18	23	0.109
2013	1	19	0	0.109
2013	1	19	1	0.109
2013	1	19	2	0.109
2013	1	19	3	0.109
2013	1	19	4	0.11
2013	1	19	5	0.11
2013	1	19	6	0.111
2013	1	19	7	0.111
2013	1	19	8	0.111
2013	1	19	9	0.111
2013	1	19	10	0.111
2013	1	19	11	0.111
2013	1	19	12	0.111
2013	1	19	13	0.111
2013	1	19	14	0.111
2013	1	19	15	0.111
2013	1	19	16	0.111
2013	1	19	17	0.111
2013	1	19	18	0.111
2013	1	19	19	0.11
2013	1	19	20	0.109
2013	1	19	21	0.11
2013	1	19	22	0.109
2013	1	19	23	0.11
2013	1	20	0	0.11
2013	1	20	1	0.11
2013	1	20	2	0.11
2013	1	20	3	0.109
2013	1	20	4	0.109
2013	1	20	5	0.109
2013	1	20	6	0.109
2013	1	20	7	0.109
2013	1	20	8	0.108
2013	1	20	9	0.109
2013	1	20	10	0.109
2013	1	20	11	0.109
2013	1	20	12	0.109
2013	1	20	13	0.11
2013	1	20	14	0.111
2013	1	20	15	0.111
2013	1	20	16	0.111
2013	1	20	17	0.11
2013	1	20	18	0.109
2013	1	20	19	0.109
2013	1	20	20	0.109
2013	1	20	21	0.108
2013	1	20	22	0.108
2013	1	20	23	0.108
2013	1	21	0	0.108
2013	1	21	1	0.108
2013	1	21	2	0.108
2013	1	21	3	0.108
2013	1	21	4	0.108
2013	1	21	5	0.108
2013	1	21	6	0.109
2013	1	21	7	0.108
2013	1	21	8	0.108
2013	1	21	9	0.108
2013	1	21	10	0.108
2013	1	21	11	0.108
2013	1	21	12	0.108
2013	1	21	13	0.108
2013	1	21	14	0.108
2013	1	21	15	0.108
2013	1	21	16	0.108
2013	1	21	17	0.108
2013	1	21	18	0.109
2013	1	21	19	0.109
2013	1	21	20	0.109
2013	1	21	21	0.108
2013	1	21	22	0.108
2013	1	21	23	0.108
2013	1	22	0	0.108
2013	1	22	1	0.108
2013	1	22	2	0.108
2013	1	22	3	0.108
2013	1	22	4	0.108
2013	1	22	5	0.108
2013	1	22	6	0.108
2013	1	22	7	0.108
2013	1	22	8	0.108
2013	1	22	9	0.108
2013	1	22	10	0.107
2013	1	22	11	0.107
2013	1	22	12	0.107
2013	1	22	13	0.107
2013	1	22	14	0.108
2013	1	22	15	0.107
2013	1	22	16	0.107
2013	1	22	17	0.107
2013	1	22	18	0.107
2013	1	22	19	0.107
2013	1	22	20	0.107
2013	1	22	21	0.106
2013	1	22	22	0.106
2013	1	22	23	0.106
2013	1	23	0	0.106
2013	1	23	1	0.106
2013	1	23	2	0.106
2013	1	23	3	0.106
2013	1	23	4	0.105
2013	1	23	5	0.105
2013	1	23	6	0.103
2013	1	23	7	0.101
2013	1	23	8	0.1
2013	1	23	9	0.1
2013	1	23	10	0.101
2013	1	23	11	0.103
2013	1	23	12	0.103
2013	1	23	13	0.106
2013	1	23	14	0.111
2013	1	23	15	0.112
2013	1	23	16	0.11
2013	1	23	17	0.106
2013	1	23	18	0.105
2013	1	23	19	0.104
2013	1	23	20	0.104
2013	1	23	21	0.103
2013	1	23	22	0.102
2013	1	23	23	0.101
2013	1	24	0	0.1
2013	1	24	1	0.1
2013	1	24	2	0.1
2013	1	24	3	0.101
2013	1	24	4	0.102
2013	1	24	5	0.101
2013	1	24	6	0.1
2013	1	24	7	0.1
2013	1	24	8	0.1
2013	1	24	9	0.1
2013	1	24	10	0.1
2013	1	24	11	0.101
2013	1	24	12	0.103
2013	1	24	13	0.108
2013	1	24	14	0.11
2013	1	24	15	0.111
2013	1	24	16	0.11
2013	1	24	17	0.106
2013	1	24	18	0.103
2013	1	24	19	0.103
2013	1	24	20	0.103
2013	1	24	21	0.102
2013	1	24	22	0.102
2013	1	24	23	0.102
2013	1	25	0	0.102
2013	1	25	1	0.103
2013	1	25	2	0.102
2013	1	25	3	0.103
2013	1	25	4	0.103
2013	1	25	5	0.103
2013	1	25	6	0.103
2013	1	25	7	0.103
2013	1	25	8	0.103
2013	1	25	9	0.103
2013	1	25	10	0.103
2013	1	25	11	0.103
2013	1	25	12	0.103
2013	1	25	13	0.103
2013	1	25	14	0.103
2013	1	25	15	0.103
2013	1	25	16	0.103
2013	1	25	17	0.103
2013	1	25	18	0.103
2013	1	25	19	0.102
2013	1	25	20	0.102
2013	1	25	21	0.1
2013	1	25	22	0.1
2013	1	25	23	0.1
2013	1	26	0	0.1
2013	1	26	1	0.1
2013	1	26	2	0.098
2013	1	26	3	0.099
2013	1	26	4	0.099
2013	1	26	5	0.098
2013	1	26	6	0.098
2013	1	26	7	0.099
2013	1	26	8	0.1
2013	1	26	9	0.1
2013	1	26	10	0.099
2013	1	26	11	0.1
2013	1	26	12	0.1
2013	1	26	13	0.101
2013	1	26	14	0.103
2013	1	26	15	0.102
2013	1	26	16	0.101
2013	1	26	17	0.1
2013	1	26	18	0.1
2013	1	26	19	0.099
2013	1	26	20	0.098
2013	1	26	21	0.097
2013	1	26	22	0.097
2013	1	26	23	0.097
2013	1	27	0	0.097
2013	1	27	1	0.097
2013	1	27	2	0.097
2013	1	27	3	0.098
2013	1	27	4	0.097
2013	1	27	5	0.097
2013	1	27	6	0.097
2013	1	27	7	0.097
2013	1	27	8	0.097
2013	1	27	9	0.097
2013	1	27	10	0.098
2013	1	27	11	0.098
2013	1	27	12	0.099
2013	1	27	13	0.1
2013	1	27	14	0.103
2013	1	27	15	0.102
2013	1	27	16	0.102
2013	1	27	17	0.102
2013	1	27	18	0.102
2013	1	27	19	0.101
2013	1	27	20	0.1
2013	1	27	21	0.101
2013	1	27	22	0.1
2013	1	27	23	0.1
2013	1	28	0	0.1
2013	1	28	1	0.1
2013	1	28	2	0.1
2013	1	28	3	0.1
2013	1	28	4	0.1
2013	1	28	5	0.1
2013	1	28	6	0.1
2013	1	28	7	0.099
2013	1	28	8	0.1
2013	1	28	9	0.1
2013	1	28	10	0.1
2013	1	28	11	0.1
2013	1	28	12	0.1
2013	1	28	13	0.101
2013	1	28	14	0.1
2013	1	28	15	0.1
2013	1	28	16	0.099
2013	1	28	17	0.099
2013	1	28	18	0.099
2013	1	28	19	0.099
2013	1	28	20	0.099
2013	1	28	21	0.097
2013	1	28	22	0.097
2013	1	28	23	0.096
2013	1	29	0	0.097
2013	1	29	1	0.096
2013	1	29	2	0.097
2013	1	29	3	0.097
2013	1	29	4	0.096
2013	1	29	5	0.097
2013	1	29	6	0.097
2013	1	29	7	0.097
2013	1	29	8	0.097
2013	1	29	9	0.097
2013	1	29	10	0.097
2013	1	29	11	0.097
2013	1	29	12	0.097
2013	1	29	13	0.099
2013	1	29	14	0.099
2013	1	29	15	0.1
2013	1	29	16	0.1
2013	1	29	17	0.099
2013	1	29	18	0.102
2013	1	29	19	0.103
2013	1	29	20	0.103
2013	1	29	21	0.103
2013	1	29	22	0.103
2013	1	29	23	0.105
2013	1	30	0	0.106
2013	1	30	1	0.106
2013	1	30	2	0.106
2013	1	30	3	0.105
2013	1	30	4	0.103
2013	1	30	5	0.101
2013	1	30	6	0.101
2013	1	30	7	0.1
2013	1	30	8	0.1
2013	1	30	9	0.1
2013	1	30	10	0.099
2013	1	30	11	0.099
2013	1	30	12	0.1
2013	1	30	13	0.1
2013	1	30	14	0.1
2013	1	30	15	0.1
2013	1	30	16	0.1
2013	1	30	17	0.1
2013	1	30	18	0.1
2013	1	30	19	0.099
2013	1	30	20	0.1
2013	1	30	21	0.1
2013	1	30	22	0.102
2013	1	30	23	0.105
2013	1	31	0	0.107
2013	1	31	1	0.119
2013	1	31	2	0.118
2013	1	31	3	0.109
2013	1	31	4	0.104
2013	1	31	5	0.101
2013	1	31	6	0.098
2013	1	31	7	0.096
2013	1	31	8	0.092
2013	1	31	9	0.092
2013	1	31	10	0.092
2013	1	31	11	0.094
2013	1	31	12	0.094
2013	1	31	13	0.095
2013	1	31	14	0.097
2013	1	31	15	0.097
2013	1	31	16	0.097
2013	1	31	17	0.097
2013	1	31	18	0.097
2013	1	31	19	0.096
2013	1	31	20	0.097
2013	1	31	21	0.096
2013	1	31	22	0.095
2013	1	31	23	0.095
2013	2	1	0	0.095
2013	2	1	1	0.094
2013	2	1	2	0.094
2013	2	1	3	0.094
2013	2	1	4	0.094
2013	2	1	5	0.094
2013	2	1	6	0.094
2013	2	1	7	0.094
2013	2	1	8	0.094
2013	2	1	9	0.096
2013	2	1	10	0.094
2013	2	1	11	0.094
2013	2	1	12	0.094
2013	2	1	13	0.095
2013	2	1	14	0.096
2013	2	1	15	0.097
2013	2	1	16	0.099
2013	2	1	17	0.1
2013	2	1	18	0.1
2013	2	1	19	0.1
2013	2	1	20	0.1
2013	2	1	21	0.1
2013	2	1	22	0.1
2013	2	1	23	0.099
2013	2	2	0	0.098
2013	2	2	1	0.098
2013	2	2	2	0.099
2013	2	2	3	0.098
2013	2	2	4	0.097
2013	2	2	5	0.097
2013	2	2	6	0.097
2013	2	2	7	0.098
2013	2	2	8	0.101
2013	2	2	9	0.103
2013	2	2	10	0.101
2013	2	2	11	0.098
2013	2	2	12	0.096
2013	2	2	13	0.095
2013	2	2	14	0.094
2013	2	2	15	0.096
2013	2	2	16	0.097
2013	2	2	17	0.095
2013	2	2	18	0.094
2013	2	2	19	0.094
2013	2	2	20	0.094
2013	2	2	21	0.094
2013	2	2	22	0.094
2013	2	2	23	0.094
2013	2	3	0	0.094
2013	2	3	1	0.094
2013	2	3	2	0.094
2013	2	3	3	0.094
2013	2	3	4	0.092
2013	2	3	5	0.09
2013	2	3	6	0.089
2013	2	3	7	0.091
2013	2	3	8	0.09
2013	2	3	9	0.09
2013	2	3	10	0.092
2013	2	3	11	0.095
2013	2	3	12	0.096
2013	2	3	13	0.096
2013	2	3	14	0.094
2013	2	3	15	0.092
2013	2	3	16	0.092
2013	2	3	17	0.092
2013	2	3	18	0.091
2013	2	3	19	0.091
2013	2	3	20	0.091
2013	2	3	21	0.091
2013	2	3	22	0.091
2013	2	3	23	0.091
2013	2	4	0	0.091
2013	2	4	1	0.09
2013	2	4	2	0.091
2013	2	4	3	0.091
2013	2	4	4	0.093
2013	2	4	5	0.094
2013	2	4	6	0.094
2013	2	4	7	0.094
2013	2	4	8	0.094
2013	2	4	9	0.094
2013	2	4	10	0.094
2013	2	4	11	0.094
2013	2	4	12	0.096
2013	2	4	13	0.095
2013	2	4	14	0.096
2013	2	4	15	0.096
2013	2	4	16	0.094
2013	2	4	17	0.099
2013	2	4	18	0.096
2013	2	4	19	0.092
2013	2	4	20	0.09
2013	2	4	21	0.089
2013	2	4	22	0.089
2013	2	4	23	0.091
2013	2	5	0	0.091
2013	2	5	1	0.084
2013	2	5	2	0.082
2013	2	5	3	0.088
2013	2	5	4	0.093
2013	2	5	5	0.094
2013	2	5	6	0.092
2013	2	5	7	0.093
2013	2	5	8	0.092
2013	2	5	9	0.091
2013	2	5	10	0.091
2013	2	5	11	0.091
2013	2	5	12	0.091
2013	2	5	13	0.091
2013	2	5	14	0.091
2013	2	5	15	0.091
2013	2	5	16	0.091
2013	2	5	17	0.092
2013	2	5	18	0.092
2013	2	5	19	0.092
2013	2	5	20	0.093
2013	2	5	21	0.094
2013	2	5	22	0.092
2013	2	5	23	0.093
2013	2	6	0	0.093
2013	2	6	1	0.094
2013	2	6	2	0.094
2013	2	6	3	0.094
2013	2	6	4	0.093
2013	2	6	5	0.092
2013	2	6	6	0.091
2013	2	6	7	0.091
2013	2	6	8	0.09
2013	2	6	9	0.089
2013	2	6	10	0.087
2013	2	6	11	0.088
2013	2	6	12	0.089
2013	2	6	13	0.094
2013	2	6	14	0.094
2013	2	6	15	0.091
2013	2	6	16	0.091
2013	2	6	17	0.091
2013	2	6	18	0.091
2013	2	6	19	0.09
2013	2	6	20	0.09
2013	2	6	21	0.089
2013	2	6	22	0.089
2013	2	6	23	0.089
2013	2	7	0	0.089
2013	2	7	1	0.089
2013	2	7	2	0.089
2013	2	7	3	0.089
2013	2	7	4	0.089
2013	2	7	5	0.089
2013	2	7	6	0.089
2013	2	7	7	0.089
2013	2	7	8	0.089
2013	2	7	9	0.088
2013	2	7	10	0.089
2013	2	7	11	0.089
2013	2	7	12	0.089
2013	2	7	13	0.089
2013	2	7	14	0.089
2013	2	7	15	0.088
2013	2	7	16	0.088
2013	2	7	17	0.089
2013	2	7	18	0.088
2013	2	7	19	0.088
2013	2	7	20	0.088
2013	2	7	21	0.088
2013	2	7	22	0.086
2013	2	7	23	0.086
2013	2	8	0	0.088
2013	2	8	1	0.087
2013	2	8	2	0.088
2013	2	8	3	0.088
2013	2	8	4	0.087
2013	2	8	5	0.086
2013	2	8	6	0.085
2013	2	8	7	0.085
2013	2	8	8	0.085
2013	2	8	9	0.085
2013	2	8	10	0.088
2013	2	8	11	0.088
2013	2	8	12	0.09
2013	2	8	13	0.089
2013	2	8	14	0.088
2013	2	8	15	0.088
2013	2	8	16	0.088
2013	2	8	17	0.088
2013	2	8	18	0.088
2013	2	8	19	0.087
2013	2	8	20	0.086
2013	2	8	21	0.085
2013	2	8	22	0.085
2013	2	8	23	0.085
2013	2	9	0	0.085
2013	2	9	1	0.085
2013	2	9	2	0.085
2013	2	9	3	0.085
2013	2	9	4	0.085
2013	2	9	5	0.085
2013	2	9	6	0.085
2013	2	9	7	0.084
2013	2	9	8	0.082
2013	2	9	9	0.08
2013	2	9	10	0.083
2013	2	9	11	0.09
2013	2	9	12	0.09
2013	2	9	13	0.09
2013	2	9	14	0.087
2013	2	9	15	0.086
2013	2	9	16	0.085
2013	2	9	17	0.085
2013	2	9	18	0.084
2013	2	9	19	0.084
2013	2	9	20	0.083
2013	2	9	21	0.083
2013	2	9	22	0.082
2013	2	9	23	0.082
2013	2	10	0	0.081
2013	2	10	1	0.079
2013	2	10	2	0.079
2013	2	10	3	0.078
2013	2	10	4	0.077
2013	2	10	5	0.077
2013	2	10	6	0.077
2013	2	10	7	0.077
2013	2	10	8	0.077
2013	2	10	9	0.077
2013	2	10	10	0.077
2013	2	10	11	0.079
2013	2	10	12	0.08
2013	2	10	13	0.083
2013	2	10	14	0.089
2013	2	10	15	0.09
2013	2	10	16	0.088
2013	2	10	17	0.083
2013	2	10	18	0.082
2013	2	10	19	0.08
2013	2	10	20	0.079
2013	2	10	21	0.079
2013	2	10	22	0.079
2013	2	10	23	0.079
2013	2	11	0	0.079
2013	2	11	1	0.079
2013	2	11	2	0.079
2013	2	11	3	0.081
2013	2	11	4	0.082
2013	2	11	5	0.083
2013	2	11	6	0.085
2013	2	11	7	0.085
2013	2	11	8	0.085
2013	2	11	9	0.085
2013	2	11	10	0.086
2013	2	11	11	0.089
2013	2	11	12	0.09
2013	2	11	13	0.091
2013	2	11	14	0.092
2013	2	11	15	0.091
2013	2	11	16	0.089
2013	2	11	17	0.088
2013	2	11	18	0.087
2013	2	11	19	0.085
2013	2	11	20	0.085
2013	2	11	21	0.085
2013	2	11	22	0.084
2013	2	11	23	0.085
2013	2	12	0	0.084
2013	2	12	1	0.084
2013	2	12	2	0.084
2013	2	12	3	0.084
2013	2	12	4	0.084
2013	2	12	5	0.084
2013	2	12	6	0.083
2013	2	12	7	0.083
2013	2	12	8	0.082
2013	2	12	9	0.082
2013	2	12	10	0.082
2013	2	12	11	0.082
2013	2	12	12	0.083
2013	2	12	13	0.084
2013	2	12	14	0.084
2013	2	12	15	0.085
2013	2	12	16	0.084
2013	2	12	17	0.084
2013	2	12	18	0.083
2013	2	12	19	0.082
2013	2	12	20	0.082
2013	2	12	21	0.082
2013	2	12	22	0.082
2013	2	12	23	0.082
2013	2	13	0	0.082
2013	2	13	1	0.082
2013	2	13	2	0.082
2013	2	13	3	0.082
2013	2	13	4	0.081
2013	2	13	5	0.081
2013	2	13	6	0.081
2013	2	13	7	0.081
2013	2	13	8	0.08
2013	2	13	9	0.08
2013	2	13	10	0.08
2013	2	13	11	0.08
2013	2	13	12	0.08
2013	2	13	13	0.08
2013	2	13	14	0.081
2013	2	13	15	0.081
2013	2	13	16	0.081
2013	2	13	17	0.08
2013	2	13	18	0.08
2013	2	13	19	0.079
2013	2	13	20	0.079
2013	2	13	21	0.079
2013	2	13	22	0.08
2013	2	13	23	0.079
2013	2	14	0	0.079
2013	2	14	1	0.079
2013	2	14	2	0.079
2013	2	14	3	0.079
2013	2	14	4	0.079
2013	2	14	5	0.079
2013	2	14	6	0.079
2013	2	14	7	0.079
2013	2	14	8	0.079
2013	2	14	9	0.079
